Points_m_XYZ:0	Points_m_XYZ:1	Points_m_XYZ:2	X	Y	Z	intensity	laser_id	azimuth	distance_m	adjustedtime	timestamp	vertical_angle	dual_distance	dual_intensity	dual_return_matching
1.180024624	18.05197334	-2.865253687	1.180024641	18.05197273	-2.865253662	1	6	374	18.316	61647185	61647185	-9	1	-1	162
1.938204885	29.4924202	3.629025221	1.938204886	29.49241972	3.629025308	43	7	376	29.778	61647187	61647187	7	0	0	-1
0.573125124	8.697677612	-1.070256591	0.573125109	8.697677993	-1.070256574	30	8	377	8.782	61647189	61647189	-7	0	0	-1
1.94969964	29.4318161	4.671758652	1.949699688	29.43181673	4.671758864	43	9	379	29.864	61647192	61647192	9	0	0	-1
1.480614305	22.17466354	4.319915771	1.480614284	22.1746637	4.319915655	18	11	382	22.64	61647196	61647196	11	0	0	-1
0.584118545	8.702448845	-0.457102239	0.584118569	8.702449025	-0.457102242	19	12	384	8.734	61647198	61647198	-3	0	0	-1
1.491922259	22.16939163	5.12978363	1.491922256	22.1693911	5.129783843	28	13	385	22.804	61647201	61647201	13	0	0	-1
1.825404763	26.98420906	-0.472087592	1.825404752	26.98420892	-0.472087594	3	14	387	27.05	61647203	61647203	-1	0	0	-1
1.446760893	21.2765789	5.714206696	1.44676095	21.27657883	5.714206878	27	15	389	22.078	61647205	61647205	15	0	0	-1
0.66487062	9.413644791	-2.528661966	0.664870618	9.41364516	-2.528662071	111	0	404	9.77	61647226	61647226	-15	0	0	-1
0.982154727	13.80310535	-3.194754839	0.982154742	13.80310535	-3.194754874	6	2	407	14.202	61647231	61647231	-13	0	0	-1
1.527754903	21.41811371	1.125327706	1.527754941	21.41811398	1.125327731	9	3	408	21.502	61647233	61647233	3	0	0	-1
1.117888093	15.59534359	-3.03920579	1.117888122	15.5953435	-3.039205678	5	4	410	15.928	61647235	61647235	-11	0	0	-1
1.563853025	21.71060371	1.904353023	1.563852969	21.71060348	1.904352979	29	5	412	21.85	61647238	61647238	5	0	0	-1
1.292629123	17.90166473	-2.842727184	1.292629082	17.90166463	-2.842727099	9	6	413	18.172	61647240	61647240	-9	0	0	-1
2.138475895	29.47260475	3.628293991	2.138475998	29.472604	3.628294092	43	7	415	29.772	61647242	61647242	7	0	0	-1
1.302163005	17.86011124	-2.198766708	1.302162956	17.86011088	-2.198766694	6	8	417	18.042	61647245	61647245	-7	0	0	-1
2.151572943	29.43953514	4.675200462	2.151572834	29.43953518	4.675200422	43	9	418	29.886	61647247	61647247	9	0	0	-1
1.636396527	22.17749214	4.322587013	1.636396582	22.17749228	4.322586981	15	11	422	22.654	61647251	61647251	11	0	0	-1
0.641425133	8.672377586	-0.455741495	0.641425129	8.672377845	-0.455741507	30	12	423	8.708	61647254	61647254	-3	0	0	-1
1.647233844	22.16620827	5.131583214	1.647233861	22.16620887	5.131583452	28	13	425	22.812	61647256	61647256	13	0	0	-1
1.633328795	21.87576866	-0.382905811	1.633328819	21.87576787	-0.382905797	7	14	427	21.94	61647258	61647258	-1	1	1	164
1.592849016	21.28357697	5.718865395	1.592848971	21.2835764	5.718865621	27	15	428	22.096	61647261	61647261	15	0	0	-1
0.586304665	9.165867805	0.160317808	0.586304658	9.165868265	0.160317806	13	1	366	9.186	61647173	61647173	1	0	0	-1
0.559148431	8.67006588	0.455322832	0.559148457	8.670065405	0.455322819	5	3	369	8.7	61647178	61647178	3	-1	1	133
0.567720652	8.755396843	-1.705450773	0.567720632	8.755396899	-1.705450801	3	4	371	8.938	61647180	61647180	-11	-1	-1	134
0.570942283	8.73425293	-1.38632226	0.570942256	8.734253238	-1.386322229	9	6	374	8.862	61647185	61647185	-9	-1	1	136
0.61388129	8.359472275	-0.733328402	0.613881264	8.359472186	-0.733328419	7	10	420	8.414	61647249	61647249	-5	0	0	-1
0.585884154	7.846959591	-0.13735044	0.58588413	7.84695958	-0.137350439	6	14	427	7.87	61647258	61647258	-1	-1	-1	157
0.718310058	9.250837326	-2.48621583	0.718310057	9.250837687	-2.486215747	13	0	444	9.606	61647281	61647281	-15	0	0	-1
1.076519489	13.77065563	-3.188906193	1.07651945	13.77065574	-3.188906146	6	2	447	14.176	61647286	61647286	-13	0	0	-1
1.680979371	21.40663338	1.125327706	1.680979327	21.40663332	1.125327731	11	3	449	21.502	61647288	61647288	3	0	0	-1
1.229456544	15.58694458	-3.03920579	1.229456486	15.58694484	-3.039205678	5	4	451	15.928	61647291	61647291	-11	0	0	-1
1.716638327	21.71504593	1.905747414	1.716638348	21.71504629	1.905747471	35	5	452	21.866	61647293	61647293	5	0	0	-1
1.420227408	17.88604927	-2.84178853	1.420227436	17.88604898	-2.841788492	8	6	454	18.166	61647295	61647295	-9	0	0	-1
2.352161646	29.49216461	3.63268137	2.352161753	29.49216549	3.632681388	17	7	456	29.808	61647297	61647297	7	0	0	-1
1.427133679	17.85454178	-2.199254274	1.427133638	17.85454247	-2.199254171	6	8	457	18.046	61647300	61647300	-7	0	0	-1
2.364077806	29.44701385	4.678955078	2.364077798	29.44701373	4.678954849	52	9	459	29.91	61647302	61647302	9	0	0	-1
1.73864758	21.60935783	-1.896683216	1.73864764	21.60935772	-1.896683274	4	10	460	21.762	61647304	61647304	-5	0	0	-1
1.792132378	22.17726898	4.324876785	1.792132355	22.17726898	4.324876689	15	11	462	22.666	61647307	61647307	11	0	0	-1
1.779346704	21.92372513	-1.152751803	1.779346714	21.92372607	-1.152751772	21	12	464	22.026	61647309	61647309	-3	1	1	193
1.803363681	22.17164993	5.135632515	1.803363631	22.17164986	5.135632571	28	13	465	22.83	61647311	61647311	13	0	0	-1
1.746530533	21.28896141	5.72352457	1.746530582	21.28896183	5.723524363	27	15	469	22.114	61647316	61647316	15	0	0	-1
0.787605166	9.320808411	-2.506403685	0.787605169	9.320808706	-2.506403633	43	0	483	9.684	61647337	61647337	-15	0	0	-1
1.172629714	13.76280499	-3.188906193	1.172629748	13.76280469	-3.188906146	8	2	487	14.176	61647341	61647341	-13	0	0	-1
1.831576824	21.45240593	1.128363252	1.831576839	21.45240599	1.128363217	9	3	488	21.56	61647344	61647344	3	0	0	-1
1.333847165	15.55865479	-3.035389423	1.333847202	15.55865438	-3.035389498	5	4	490	15.908	61647346	61647346	-11	0	0	-1
1.869391084	21.71642876	1.90696764	1.869391042	21.71642815	1.906967651	35	5	492	21.88	61647348	61647348	5	0	0	-1
1.537696004	17.82676506	-2.833966732	1.537696041	17.82676581	-2.833966769	13	6	493	18.116	61647350	61647350	-9	0	0	-1
3.181473494	36.73358917	4.527202606	3.181473605	36.7335891	4.527202369	14	7	495	37.148	61647353	61647353	7	0	0	-1
1.553121924	17.85996437	-2.201204062	1.553121882	17.8599652	-2.201204081	6	8	497	18.062	61647355	61647355	-7	0	0	-1
2.565146923	29.43811226	4.680206299	2.565146863	29.4381116	4.680206325	43	9	498	29.918	61647357	61647357	9	0	0	-1
1.891896844	21.6244812	-1.899123669	1.891896896	21.62448047	-1.899123634	4	10	500	21.79	61647360	61647360	-5	1	1	194
1.949319005	22.19159698	4.330219269	1.949319051	22.19159732	4.330219341	25	11	502	22.694	61647362	61647362	11	0	0	-1
1.930810928	21.93697166	-1.154112458	1.930810897	21.93697102	-1.154112507	19	12	503	22.052	61647364	61647364	-3	1	1	195
1.956047297	22.1352253	5.130233765	1.956047287	22.1352257	5.130233745	28	13	505	22.806	61647367	61647367	13	0	0	-1
1.891569376	21.27850533	5.724041939	1.891569428	21.27850475	5.724042001	22	15	508	22.116	61647371	61647371	15	0	0	-1
0.760499835	9.370287895	-0.492690682	0.760499862	9.370287714	-0.492690692	4	12	464	9.414	61647309	61647309	-3	-1	-1	176
0.724633873	8.28260231	-0.727401853	0.724633845	8.282602753	-0.727401829	3	10	500	8.346	61647360	61647360	-5	-1	-1	188
0.819184959	9.307196617	-0.489655197	0.819184961	9.307196666	-0.489655207	5	12	503	9.356	61647364	61647364	-3	-1	-1	190
0.85265696	9.315083504	-2.506403685	0.852656967	9.315083087	-2.506403633	19	0	523	9.684	61647392	61647392	-15	0	0	-1
1.26556766	13.74674225	-3.187106609	1.265567693	13.74674195	-3.187106538	6	2	526	14.168	61647397	61647397	-13	0	0	-1
1.980745673	21.43313026	1.128049254	1.980745653	21.43313014	1.128049201	6	3	528	21.554	61647399	61647399	3	1	1	226
1.350309491	14.5558939	-2.841527462	1.350309458	14.55589398	-2.841527559	25	4	530	14.892	61647401	61647401	-11	0	0	-1
2.019193888	21.72502327	1.908885121	2.01919386	21.72502285	1.908885078	35	5	531	21.902	61647403	61647403	5	0	0	-1
1.663763285	17.83329773	-2.836782694	1.66376333	17.83329785	-2.836782589	11	6	533	18.134	61647406	61647406	-9	0	0	-1
2.047454357	21.86343002	2.696237326	2.047454361	21.8634309	2.696237353	34	7	535	22.124	61647408	61647408	7	0	0	-1
1.675024748	17.85293198	-2.201691628	1.675024759	17.8529326	-2.201691558	6	8	536	18.066	61647410	61647410	-7	0	0	-1
2.054751635	21.8182888	3.470968008	2.05475169	21.81828869	3.47096791	40	9	538	22.188	61647413	61647413	9	0	0	-1
2.036986351	21.58928299	-1.897206187	2.036986404	21.5892825	-1.897206208	6	10	539	21.768	61647415	61647415	-5	1	1	227
2.064972162	21.80450439	4.257330418	2.064972098	21.8045035	4.257330305	81	11	541	22.312	61647417	61647417	11	0	0	-1
2.087124586	21.9567585	-1.155891895	2.087124546	21.95675798	-1.15589193	9	12	543	22.086	61647420	61647420	-3	1	-1	228
2.068427801	21.71982574	5.03710413	2.068427874	21.71982627	5.037104009	55	13	544	22.392	61647422	61647422	13	0	0	-1
2.042656898	21.29170227	5.73128891	2.042656951	21.29170298	5.731288935	22	15	548	22.144	61647427	61647427	15	0	0	-1
